case_id,layer,name,accumulator_int48,shift,mode_name,rounder_expected_before_activation,expected_output_int16
0,conv1,zero,0,14,relu,0,0
1,conv1,positive_below_half_lsb,8191,14,relu,0,0
2,conv1,positive_exact_half_lsb,8192,14,relu,1,1
3,conv1,positive_above_half_lsb,8193,14,relu,1,1
4,conv1,positive_one_below_half,24575,14,relu,1,1
5,conv1,positive_one_exact_half,24576,14,relu,2,2
6,conv1,negative_below_half_lsb,-8191,14,relu,0,0
7,conv1,negative_exact_half_lsb,-8192,14,relu,-1,0
8,conv1,negative_above_half_lsb,-8193,14,relu,-1,0
9,conv1,negative_one_exact_half,-24576,14,relu,-2,0
10,conv1,int16_max_exact,536854528,14,relu,32767,32767
11,conv1,int16_max_plus_half_saturate,536862720,14,relu,32768,32767
12,conv1,positive_int16_overflow,536870912,14,relu,32768,32767
13,conv1,int48_maximum,140737488355327,14,relu,8589934592,32767
14,conv1,int48_minimum,-140737488355328,14,relu,-8589934592,0
15,conv2,zero,0,16,relu,0,0
16,conv2,positive_below_half_lsb,32767,16,relu,0,0
17,conv2,positive_exact_half_lsb,32768,16,relu,1,1
18,conv2,positive_above_half_lsb,32769,16,relu,1,1
19,conv2,positive_one_below_half,98303,16,relu,1,1
20,conv2,positive_one_exact_half,98304,16,relu,2,2
21,conv2,negative_below_half_lsb,-32767,16,relu,0,0
22,conv2,negative_exact_half_lsb,-32768,16,relu,-1,0
23,conv2,negative_above_half_lsb,-32769,16,relu,-1,0
24,conv2,negative_one_exact_half,-98304,16,relu,-2,0
25,conv2,int16_max_exact,2147418112,16,relu,32767,32767
26,conv2,int16_max_plus_half_saturate,2147450880,16,relu,32768,32767
27,conv2,positive_int16_overflow,2147483648,16,relu,32768,32767
28,conv2,int48_maximum,140737488355327,16,relu,2147483648,32767
29,conv2,int48_minimum,-140737488355328,16,relu,-2147483648,0
30,conv3,zero,0,14,clamp_0_32767,0,0
31,conv3,positive_below_half_lsb,8191,14,clamp_0_32767,0,0
32,conv3,positive_exact_half_lsb,8192,14,clamp_0_32767,1,1
33,conv3,positive_above_half_lsb,8193,14,clamp_0_32767,1,1
34,conv3,positive_one_below_half,24575,14,clamp_0_32767,1,1
35,conv3,positive_one_exact_half,24576,14,clamp_0_32767,2,2
36,conv3,negative_below_half_lsb,-8191,14,clamp_0_32767,0,0
37,conv3,negative_exact_half_lsb,-8192,14,clamp_0_32767,-1,0
38,conv3,negative_above_half_lsb,-8193,14,clamp_0_32767,-1,0
39,conv3,negative_one_exact_half,-24576,14,clamp_0_32767,-2,0
40,conv3,int16_max_exact,536854528,14,clamp_0_32767,32767,32767
41,conv3,int16_max_plus_half_saturate,536862720,14,clamp_0_32767,32768,32767
42,conv3,positive_int16_overflow,536870912,14,clamp_0_32767,32768,32767
43,conv3,int48_maximum,140737488355327,14,clamp_0_32767,8589934592,32767
44,conv3,int48_minimum,-140737488355328,14,clamp_0_32767,-8589934592,0
