comparison,crop,sample_count,maximum_absolute_error,mean_absolute_error,mse,rmse,psnr_db
int16_vs_fp32,0,65536,0.07550448179244995,0.0004475826862062604,2.5784883237119575e-06,0.0016057672071978421,55.88634830888621
int16_vs_fp32,2,63504,0.05195736885070801,0.00041824397948939183,1.3235407257947608e-06,0.0011504524004906768,58.7826269076927
int16_vs_fp32,8,57600,0.03058403730392456,0.0003988456451851461,7.065413115244794e-07,0.0008405601177336928,61.50862439841475
bicubic_vs_hr,0,65536,0.36285078525543213,0.02483011263939261,0.0017779064662717362,0.04216522816577347,27.50091090525848
bicubic_vs_hr,2,63504,0.2961823344230652,0.02503084675844174,0.0017882518503593394,0.04228772694718102,27.475713169054053
bicubic_vs_hr,8,57600,0.2961823344230652,0.025028107121276358,0.001768598140063985,0.04205470413715908,27.523708360439283
fp32_vs_hr,0,65536,0.25945454835891724,0.013899024204988564,0.000545544573356701,0.023356895627559347,32.631697598840375
fp32_vs_hr,2,63504,0.2541942298412323,0.013863973759263041,0.0005358100005859045,0.023147570079511685,32.70989184795107
fp32_vs_hr,8,57600,0.2541942298412323,0.013671216344357365,0.000510392892195009,0.022591876685990674,32.92095382292341
int16_vs_hr,0,65536,0.2593933939933777,0.013939453466946361,0.00054844942711335,0.02341899714149498,32.60863412826208
int16_vs_hr,2,63504,0.25437694787979126,0.01388566563096912,0.0005370597801297594,0.02317455026812299,32.69977370286472
int16_vs_hr,8,57600,0.25437694787979126,0.013686624824379882,0.0005111161683632102,0.02260787845781223,32.914803805985485
